Command-Line, Time, Executable, Parent PID, PID, User, Privileges
"C:\Windows\SysWOW64\backgroundTaskHost.exe" -ServerName:Spotify.AppXt469n91rqc91c7c1tk8hgxpvb3sxp03a.mca, 20240618144916.651816+180, C:\Windows\SysWOW64\backgroundTaskHost.exe, 1284, 7160, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe" --type=renderer --log-severity=disable --user-agent-product="Chrome/106.0.5249.119 Spotify/1.1.99.878" --disable-spell-checking --user-data-dir="C:\Users\Saher Mohamed\AppData\Local\SpotifyAppX\User Data" --first-renderer-process --log-file="C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\debug.log" --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1718699866847053 --launch-time-ticks=11491147703 --mojo-platform-channel-handle=4432 --field-trial-handle=2084,i,15569928141269537622,18155634166506075028,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:1, 20240618144918.004427+180, C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.199.878.0_x86__zpdnekdrzrea0\Spotify.exe, 10272, 1776, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s gpsvc, 20240618145015.058152+180, C:\WINDOWS\system32\svchost.exe, 1048, 3652, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
"C:\WINDOWS\System32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe14_ Global\UsGthrCtrlFltPipeMssGthrPipe14 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" , 20240618145443.739962+180, C:\WINDOWS\System32\SearchProtocolHost.exe, 4308, 3956, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding, 20240618145451.772042+180, C:\Windows\System32\RuntimeBroker.exe, 1284, 10372, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca, 20240618145451.540023+180, C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe, 1284, 14108, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
None, 20240618145451.585571+180, None, 1048, 2036, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
C:\WINDOWS\System32\svchost.exe -k LocalService -p -s LicenseManager, 20240618145451.491128+180, C:\WINDOWS\System32\svchost.exe, 1048, 5324, ('NT AUTHORITY', 0, 'LOCAL SERVICE'), N/A
"C:\WINDOWS\System32\SearchFilterHost.exe" 844 4192 4204 828 {7FC3863B-7471-4B10-84E3-A5C2E0330618}, 20240618145501.307294+180, C:\WINDOWS\System32\SearchFilterHost.exe, 4308, 10084, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{7966B4D8-4FDC-4126-A10B-39A3209AD251}, 20240618145521.077361+180, C:\WINDOWS\system32\DllHost.exe, 1284, 8252, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
